2022-01-10 12:25:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-10 13:35:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-10 14:45:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-10 15:55:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-10 16:15:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-10 17:25:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-10 18:35:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-10 19:45:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-10 20:55:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-11 12:15:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
2022-01-11 13:25:07.067 ERROR --- [http-nio-8080-exec-1] com.app.aop.LoggerAspect : {controller=IndexController, http_method=GET, method=index2, params={}, log_time=Mon Jan 10 12:35:07 KST 2022, request_uri=/}
